# Z_nm	Fit_totale_conteggi	LogN1_conteggi	LogN2_conteggi
31.283947	27.564167	0.000000	27.564167
31.318988	27.367255	0.000000	27.367255
31.354030	27.171752	0.000000	27.171752
31.389071	26.977649	0.000000	26.977649
31.424112	26.784936	0.000000	26.784936
31.459153	26.593602	0.000000	26.593602
31.494194	26.403639	0.000000	26.403639
31.529235	26.215037	0.000000	26.215037
31.564276	26.027786	0.000000	26.027786
31.599317	25.841876	0.000000	25.841876
31.634358	25.657299	0.000000	25.657299
31.669399	25.474044	0.000000	25.474044
31.704440	25.292103	0.000000	25.292103
31.739481	25.111466	0.000000	25.111466
31.774523	24.932125	0.000000	24.932125
31.809564	24.754069	0.000000	24.754069
31.844605	24.577291	0.000000	24.577291
31.879646	24.401780	0.000000	24.401780
31.914687	24.227528	0.000000	24.227528
31.949728	24.054527	0.000000	24.054527
31.984769	23.882766	0.000000	23.882766
32.019810	23.712239	0.000000	23.712239
32.054851	23.542935	0.000000	23.542935
32.089892	23.374846	0.000000	23.374846
32.124933	23.207963	0.000000	23.207963
32.159974	23.042279	0.000000	23.042279
32.195016	22.877785	0.000000	22.877785
32.230057	22.714471	0.000000	22.714471
32.265098	22.552331	0.000000	22.552331
32.300139	22.391354	0.000000	22.391354
32.335180	22.231534	0.000000	22.231534
32.370221	22.072862	0.000000	22.072862
32.405262	21.915331	0.000000	21.915331
32.440303	21.758930	0.000000	21.758930
32.475344	21.603654	0.000000	21.603654
32.510385	21.449493	0.000000	21.449493
32.545426	21.296441	0.000000	21.296441
32.580467	21.144488	0.000000	21.144488
32.615509	20.993628	0.000000	20.993628
32.650550	20.843852	0.000000	20.843852
32.685591	20.695153	0.000000	20.695153
32.720632	20.547523	0.000000	20.547523
32.755673	20.400954	0.000000	20.400954
32.790714	20.255439	0.000000	20.255439
32.825755	20.110971	0.000000	20.110971
32.860796	19.967542	0.000000	19.967542
32.895837	19.825144	0.000000	19.825144
32.930878	19.683771	0.000000	19.683771
32.965919	19.543414	0.000000	19.543414
33.000961	19.404067	0.000000	19.404067
33.036002	19.265723	0.000000	19.265723
33.071043	19.128374	0.000000	19.128374
33.106084	18.992014	0.000000	18.992014
33.141125	18.856634	0.000000	18.856634
33.176166	18.722229	0.000000	18.722229
33.211207	18.588791	0.000000	18.588791
33.246248	18.456313	0.000000	18.456313
33.281289	18.324789	0.000000	18.324789
33.316330	18.194211	0.000000	18.194211
33.351371	18.064573	0.000000	18.064573
33.386412	17.935869	0.000000	17.935869
33.421454	17.808090	0.000000	17.808090
33.456495	17.681232	0.000000	17.681232
33.491536	17.555287	0.000000	17.555287
33.526577	17.430249	0.000000	17.430249
33.561618	17.306111	0.000000	17.306111
33.596659	17.182867	0.000000	17.182867
33.631700	17.060510	0.000000	17.060510
33.666741	16.939034	0.000000	16.939034
33.701782	16.818434	0.000000	16.818434
33.736823	16.698701	0.000000	16.698701
33.771864	16.579831	0.000000	16.579831
33.806905	16.461817	0.000000	16.461817
33.841947	16.344652	0.000000	16.344652
33.876988	16.228332	0.000000	16.228332
33.912029	16.112849	0.000000	16.112849
33.947070	15.998198	0.000000	15.998198
33.982111	15.884373	0.000000	15.884373
34.017152	15.771368	0.000000	15.771368
34.052193	15.659177	0.000000	15.659177
34.087234	15.547794	0.000000	15.547794
34.122275	15.437213	0.000000	15.437213
34.157316	15.327428	0.000000	15.327428
34.192357	15.218435	0.000000	15.218435
34.227398	15.110227	0.000000	15.110227
34.262440	15.002798	0.000000	15.002798
34.297481	14.896143	0.000000	14.896143
34.332522	14.790256	0.000000	14.790256
34.367563	14.685132	0.000000	14.685132
34.402604	14.580766	0.000000	14.580766
34.437645	14.477151	0.000000	14.477151
34.472686	14.374283	0.000000	14.374283
34.507727	14.272156	0.000000	14.272156
34.542768	14.170765	0.000000	14.170765
34.577809	14.070104	0.000000	14.070104
34.612850	13.970168	0.000000	13.970168
34.647892	13.870952	0.000000	13.870952
34.682933	13.772451	0.000000	13.772451
34.717974	13.674660	0.000000	13.674660
34.753015	13.577573	0.000000	13.577573
34.788056	13.481185	0.000000	13.481185
34.823097	13.385492	0.000000	13.385492
34.858138	13.290488	0.000000	13.290488
34.893179	13.196169	0.000000	13.196169
34.928220	13.102529	0.000000	13.102529
34.963261	13.009563	0.000000	13.009563
34.998302	12.917268	0.000000	12.917268
35.033343	12.825637	0.000000	12.825637
35.068385	12.734666	0.000000	12.734666
35.103426	12.644351	0.000000	12.644351
35.138467	12.554686	0.000000	12.554686
35.173508	12.465667	0.000000	12.465667
35.208549	12.377289	0.000000	12.377289
35.243590	12.289548	0.000000	12.289548
35.278631	12.202438	0.000000	12.202438
35.313672	12.115956	0.000000	12.115956
35.348713	12.030097	0.000000	12.030097
35.383754	11.944857	0.000000	11.944857
35.418795	11.860230	0.000000	11.860230
35.453836	11.776213	0.000000	11.776213
35.488878	11.692800	0.000000	11.692800
35.523919	11.609989	0.000000	11.609989
35.558960	11.527773	0.000000	11.527773
35.594001	11.446150	0.000000	11.446150
35.629042	11.365115	0.000000	11.365115
35.664083	11.284663	0.000000	11.284663
35.699124	11.204790	0.000000	11.204790
35.734165	11.125492	0.000000	11.125492
35.769206	11.046766	0.000000	11.046766
35.804247	10.968606	0.000000	10.968606
35.839288	10.891008	0.000000	10.891008
35.874329	10.813970	0.000000	10.813970
35.909371	10.737486	0.000000	10.737486
35.944412	10.661552	0.000000	10.661552
35.979453	10.586165	0.000000	10.586165
36.014494	10.511321	0.000000	10.511321
36.049535	10.437015	0.000000	10.437015
36.084576	10.363244	0.000000	10.363244
36.119617	10.290004	0.000000	10.290004
36.154658	10.217291	0.000000	10.217291
36.189699	10.145102	0.000000	10.145102
36.224740	10.073431	0.000000	10.073431
36.259781	10.002277	0.000000	10.002277
36.294823	9.931634	0.000000	9.931634
36.329864	9.861500	0.000000	9.861500
36.364905	9.791870	0.000000	9.791870
36.399946	9.722741	0.000000	9.722741
36.434987	9.654109	0.000000	9.654109
36.470028	9.585971	0.000000	9.585971
36.505069	9.518324	0.000000	9.518324
36.540110	9.451162	0.000000	9.451162
36.575151	9.384484	0.000000	9.384484
36.610192	9.318285	0.000000	9.318285
36.645233	9.252562	0.000000	9.252562
36.680274	9.187312	0.000000	9.187312
36.715316	9.122531	0.000000	9.122531
36.750357	9.058215	0.000000	9.058215
36.785398	8.994362	0.000000	8.994362
36.820439	8.930968	0.000000	8.930968
36.855480	8.868030	0.000000	8.868030
36.890521	8.805544	0.000000	8.805544
36.925562	8.743507	0.000000	8.743507
36.960603	8.681916	0.000000	8.681916
36.995644	8.620768	0.000000	8.620768
37.030685	8.560059	0.000000	8.560059
37.065726	8.499786	0.000000	8.499786
37.100767	8.439946	0.000000	8.439946
37.135809	8.380536	0.000000	8.380536
37.170850	8.321553	0.000000	8.321553
37.205891	8.262994	0.000000	8.262994
37.240932	8.204855	0.000000	8.204855
37.275973	8.147134	0.000000	8.147134
37.311014	8.089827	0.000000	8.089827
37.346055	8.032932	0.000000	8.032932
37.381096	7.976445	0.000000	7.976445
37.416137	7.920364	0.000000	7.920364
37.451178	7.864685	0.000000	7.864685
37.486219	7.809406	0.000000	7.809406
37.521260	7.754524	0.000000	7.754524
37.556302	7.700036	0.000000	7.700036
37.591343	7.645939	0.000000	7.645939
37.626384	7.592230	0.000000	7.592230
37.661425	7.538907	0.000000	7.538907
37.696466	7.485966	0.000000	7.485966
37.731507	7.433405	0.000000	7.433405
37.766548	7.381221	0.000000	7.381221
37.801589	7.329411	0.000000	7.329411
37.836630	7.277973	0.000000	7.277973
37.871671	7.226904	0.000000	7.226904
37.906712	7.176201	0.000000	7.176201
37.941754	7.125862	0.000000	7.125862
37.976795	7.075883	0.000000	7.075883
38.011836	7.026263	0.000000	7.026263
38.046877	6.976999	0.000000	6.976999
38.081918	6.928087	0.000000	6.928087
38.116959	6.879527	0.000000	6.879527
38.152000	6.831314	0.000000	6.831314
38.187041	6.783447	0.000000	6.783447
38.222082	6.735922	0.000000	6.735922
38.257123	6.688739	0.000000	6.688739
38.292164	6.641893	0.000000	6.641893
38.327205	6.595383	0.000000	6.595383
38.362247	6.549205	0.000000	6.549205
38.397288	6.503359	0.000000	6.503359
38.432329	6.457841	0.000000	6.457841
38.467370	6.412649	0.000000	6.412649
38.502411	6.367780	0.000000	6.367780
38.537452	6.323233	0.000000	6.323233
38.572493	6.279004	0.000000	6.279004
38.607534	6.235092	0.000000	6.235092
38.642575	6.191495	0.000000	6.191495
38.677616	6.148209	0.000000	6.148209
38.712657	6.105233	0.000000	6.105233
38.747698	6.062564	0.000000	6.062564
38.782740	6.020201	0.000000	6.020201
38.817781	5.978141	0.000000	5.978141
38.852822	5.936381	0.000000	5.936381
38.887863	5.894921	0.000000	5.894921
38.922904	5.853756	0.000000	5.853756
38.957945	5.812886	0.000000	5.812886
38.992986	5.772308	0.000000	5.772308
39.028027	5.732020	0.000000	5.732020
39.063068	5.692020	0.000000	5.692020
39.098109	5.652306	0.000000	5.652306
39.133150	5.612876	0.000000	5.612876
39.168191	5.573727	0.000000	5.573727
39.203233	5.534859	0.000000	5.534859
