WSxM file copyright UAM
WSxM ASCII XYZ file
X[µm]		Y[µm]		Z[nm]
0,290196	0,0156863	10,4308
0,298039	0,0156863	7,94671
0,305882	0,0156863	6,76119
0,313725	0,0156863	7,50053
0,321569	0,0156863	6,66279
0,329412	0,0156863	5,64553
0,337255	0,0156863	4,56288
0,345098	0,0156863	3,99441
0,352941	0,0156863	3,99863
0,360784	0,0156863	4,00363
0,368627	0,0156863	3,86131
0,376471	0,0156863	4,76217
0,384314	0,0156863	5,77942
0,392157	0,0156863	8,33233
0,4	0,0156863	11,3841
0,407843	0,0156863	13,5912
0,415686	0,0156863	15,6517
0,423529	0,0156863	16,669
0,431373	0,0156863	17,2613
0,439216	0,0156863	17,1192
0,447059	0,0156863	16,1019
0,454902	0,0156863	14,6382
0,462745	0,0156863	11,5865
0,470588	0,0156863	8,62861
0,478431	0,0156863	5,57686
0,486275	0,0156863	4,56753
0,494118	0,0156863	4,23273
0,501961	0,0156863	4,49088
0,509804	0,0156863	4,99243
0,517647	0,0156863	7,05325
0,52549	0,0156863	8,23378
0,533333	0,0156863	9,25103
0,541176	0,0156863	9,19205
0,54902	0,0156863	10,2093
0,556863	0,0156863	10,3551
0,564706	0,0156863	9,33781
0,572549	0,0156863	7,57412
0,580392	0,0156863	7,96066
0,588235	0,0156863	8,40611
0,596078	0,0156863	7,38886
0,603922	0,0156863	5,77899
0,611765	0,0156863	5,78689
0,619608	0,0156863	8,12238
0,627451	0,0156863	10,9214
0,635294	0,0156863	13,867
0,643137	0,0156863	14,8843
0,65098	0,0156863	15,7753
0,658824	0,0156863	16,3722
0,666667	0,0156863	15,355
0,67451	0,0156863	13,6018
0,682353	0,0156863	10,5501
0,690196	0,0156863	7,75923
0,698039	0,0156863	8,77648
0,705882	0,0156863	8,1946
0,713725	0,0156863	7,41737
0,721569	0,0156863	9,03269
0,729412	0,0156863	10,0499
0,737255	0,0156863	10,785
0,745098	0,0156863	10,7849
0,752941	0,0156863	9,76763
0,760784	0,0156863	8,7399
0,768627	0,0156863	6,39138
0,776471	0,0156863	9,5078
0,784314	0,0156863	12,5596
0,792157	0,0156863	14,616
0,8	0,0156863	15,6332
0,807843	0,0156863	16,0749
0,815686	0,0156863	15,6348
0,823529	0,0156863	14,6175
0,831373	0,0156863	12,5627
0,839216	0,0156863	11,6719
0,847059	0,0156863	11,531
0,854902	0,0156863	10,5137
0,862745	0,0156863	8,81864
0,870588	0,0156863	8,30153
0,878431	0,0156863	8,743
0,886275	0,0156863	8,18419
0,894118	0,0156863	7,16694
0,901961	0,0156863	5,55794
0,909804	0,0156863	5,94331
0,917647	0,0156863	6,96056
0,92549	0,0156863	7,84949
0,933333	0,0156863	7,26939
0,941176	0,0156863	7,27712
0,94902	0,0156863	8,47666
0,956863	0,0156863	10,2412
0,964706	0,0156863	11,2584
0,972549	0,0156863	11,4067
0,980392	0,0156863	10,3894
0,988235	0,0156863	8,92371
0,996078	0,0156863	7,45729
1,00392	0,0156863	7,26855
1,01176	0,0156863	9,03762
1,01961	0,0156863	10,0549
1,02745	0,0156863	10,2084
1,03529	0,0156863	9,19116
1,04314	0,0156863	7,58181
1,05098	0,0156863	7,87859
1,05882	0,0156863	8,03222
1,06667	0,0156863	7,59798
1,07451	0,0156863	8,14446
1,08235	0,0156863	9,16171
1,0902	0,0156863	9,31493
1,09804	0,0156863	8,29768
1,10588	0,0156863	6,98188
1,11373	0,0156863	5,22151
1,12157	0,0156863	7,30001
1,12941	0,0156863	9,80217
1,13725	0,0156863	10,8194
1,1451	0,0156863	11,5594
1,15294	0,0156863	11,4182
1,16078	0,0156863	13,1034
1,16863	0,0156863	14,429
1,17647	0,0156863	15,4462
1,18431	0,0156863	15,7435
1,19216	0,0156863	15,4537
1,2	0,0156863	14,4365
1,20784	0,0156863	12,9717
1,21569	0,0156863	10,0826
1,22353	0,0156863	9,74315
1,23137	0,0156863	9,01311
1,23922	0,0156863	7,99586
1,24706	0,0156863	6,93187
1,2549	0,0156863	9,33438
1,26275	0,0156863	11,7557
1,27059	0,0156863	12,773
1,27843	0,0156863	13,4272
1,28627	0,0156863	15,0471
1,29412	0,0156863	16,0644
1,30196	0,0156863	16,8032
1,3098	0,0156863	16,6608
1,31765	0,0156863	15,6436
1,32549	0,0156863	14,4735
1,33333	0,0156863	12,4223
1,34118	0,0156863	9,37053
1,34902	0,0156863	7,41396
1,35686	0,0156863	6,59075
1,36471	0,0156863	5,98815
1,37255	0,0156863	7,75403
1,38039	0,0156863	8,77128
1,38824	0,0156863	9,06889
1,39608	0,0156863	8,05164
1,40392	0,0156863	7,02833
1,41176	0,0156863	4,53839
1,41961	0,0156863	6,91354
1,42745	0,0156863	8,68383
1,43529	0,0156863	9,70108
1,44314	0,0156863	10,5896
1,45098	0,0156863	10,0098
1,45882	0,0156863	8,9926
1,46667	0,0156863	8,41071
1,47451	0,0156863	8,85875
1,48235	0,0156863	9,74871
1,4902	0,0156863	10,766
1,49804	0,0156863	9,74871
1,50588	0,0156863	8,61529
1,51373	0,0156863	9,63254
1,52157	0,0156863	9,78752
1,52941	0,0156863	8,77027
1,53725	0,0156863	10,4096
1,5451	0,0156863	11,4269
1,55294	0,0156863	10,5543
1,56078	0,0156863	9,53701
1,56863	0,0156863	7,19546
1,57647	0,0156863	5,78497
1,58431	0,0156863	6,80222
1,59216	0,0156863	7,9638
1,6	0,0156863	8,98105
1,60784	0,0156863	9,73089
1,61569	0,0156863	9,44485
1,62353	0,0156863	10,0304
1,63137	0,0156863	9,46223
1,63922	0,0156863	8,72787
1,64706	0,0156863	7,71062
1,6549	0,0156863	10,0771
1,66275	0,0156863	12,874
1,67059	0,0156863	13,8913
1,67843	0,0156863	14,6329
1,68627	0,0156863	15,2281
