# Z_nm	Fit_totale_conteggi	Gauss1_conteggi	Gauss2_conteggi
Distribuzione delle altezze tramite la convoluzione di due Gaussiane (Foto si vede meglio)

X		Y(Conv_Gauss)	Y(Gauss_1_blu)	Y(Gauss_2_verde)
8.165025	1099.909574	493.531449	606.378125
8.182397	1088.890531	483.311595	605.578936
8.199770	1077.992244	473.243180	604.749065
8.217142	1067.214222	463.325581	603.888641
8.234515	1056.555935	453.558136	602.997799
8.251887	1046.016812	443.940136	602.076677
8.269259	1035.596249	434.470832	601.125417
8.286632	1025.293604	425.149437	600.144167
8.304004	1015.108200	415.975121	599.133078
8.321377	1005.039328	406.947020	598.092308
8.338749	995.086247	398.064231	597.022017
8.356121	985.248185	389.325816	595.922369
8.373494	975.524340	380.730806	594.793534
8.390866	965.913881	372.278195	593.635686
8.408239	956.415952	363.966949	592.449003
8.425611	947.029668	355.796002	591.233666
8.442983	937.754121	347.764259	589.989862
8.460356	928.588378	339.870597	588.717782
8.477728	919.531485	332.113867	587.417619
8.495101	910.582465	324.492894	586.089572
8.512473	901.740322	317.006479	584.733842
8.529845	893.004038	309.653401	583.350637
8.547218	884.372580	302.432413	581.940167
8.564590	875.844897	295.342253	580.502644
8.581962	867.419920	288.381634	579.038287
8.599335	859.096569	281.549253	577.547316
8.616707	850.873746	274.843789	576.029957
8.634080	842.750342	268.263905	574.486437
8.651452	834.725237	261.808247	572.916990
8.668824	826.797298	255.475449	571.321849
8.686197	818.965383	249.264130	569.701254
8.703569	811.228342	243.172896	568.055446
8.720942	803.585016	237.200344	566.384672
8.738314	796.034239	231.345059	564.689179
8.755686	788.574838	225.605618	562.969220
8.773059	781.205636	219.980588	561.225048
8.790431	773.925451	214.468528	559.456923
8.807804	766.733097	209.067994	557.665103
8.825176	759.627387	203.777533	555.849854
8.842548	752.607129	198.595688	554.011441
8.859921	745.671133	193.520998	552.150135
8.877293	738.818205	188.552000	550.266205
8.894666	732.047155	183.687226	548.359929
8.912038	725.356792	178.925211	546.431581
8.929410	718.745927	174.264484	544.481443
8.946783	712.213373	169.703578	542.509796
8.964155	705.757948	165.241024	540.516924
8.981528	699.378472	160.875358	538.503114
8.998900	693.073770	156.605114	536.468656
9.016272	686.842671	152.428831	534.413840
9.033645	680.684012	148.345053	532.338960
9.051017	674.596634	144.352324	530.244310
9.068389	668.579386	140.449197	528.130188
9.085762	662.631122	136.634228	525.996894
9.103134	656.750707	132.905980	523.844727
9.120507	650.937012	129.263021	521.673991
9.137879	645.188917	125.703928	519.484989
9.155251	639.505312	122.227284	517.278028
9.172624	633.885097	118.831681	515.053416
9.189996	628.327180	115.515720	512.811460
9.207369	622.830480	112.278009	510.552471
9.224741	617.393929	109.117167	508.276762
9.242113	612.016467	106.031823	505.984644
9.259486	606.697047	103.020616	503.676431
9.276858	601.434635	100.082195	501.352440
9.294231	596.228206	97.215221	499.012985
9.311603	591.076750	94.418366	496.658384
9.328975	585.979270	91.690314	494.288956
9.346348	580.934778	89.029761	491.905018
9.363720	575.942304	86.435414	489.506890
9.381093	571.000889	83.905996	487.094893
9.398465	566.109587	81.440240	484.669347
9.415837	561.267467	79.036893	482.230575
9.433210	556.473611	76.694715	479.778897
9.450582	551.727116	74.412481	477.314635
9.467955	547.027092	72.188978	474.838114
9.485327	542.372664	70.023010	472.349654
9.502699	537.762972	67.913392	469.849581
9.520072	533.197170	65.858955	467.338215
9.537444	528.674425	63.858544	464.815881
9.554817	524.193923	61.911020	462.282903
9.572189	519.754859	60.015257	459.739602
9.589561	515.356448	58.170145	457.186302
9.606934	510.997916	56.374590	454.623326
9.624306	506.678507	54.627510	452.050997
9.641678	502.397477	52.927842	449.469635
9.659051	498.154099	51.274535	446.879564
9.676423	493.947660	49.666556	444.281104
9.693796	489.777461	48.102885	441.674576
9.711168	485.642818	46.582519	439.060300
9.728540	481.543065	45.104470	436.438595
9.745913	477.477545	43.667764	433.809781
9.763285	473.445620	42.271446	431.174174
9.780658	469.446665	40.914572	428.532092
9.798030	465.480069	39.596217	425.883852
9.815402	461.545236	38.315468	423.229768
9.832775	457.641585	37.071431	420.570154
9.850147	453.768547	35.863224	417.905323
9.867520	449.925570	34.689982	415.235588
9.884892	446.112113	33.550854	412.561258
9.902264	442.327650	32.445006	409.882644
9.919637	438.571669	31.371617	407.200052
9.937009	434.843672	30.329882	404.513791
9.954382	431.143174	29.319010	401.824164
9.971754	427.469701	28.338225	399.131476
9.989126	423.822795	27.386766	396.436028
10.006499	420.202009	26.463887	393.738123
10.023871	416.606912	25.568855	391.038057
10.041244	413.037081	24.700952	388.336129
10.058616	409.492108	23.859474	385.632634
10.075988	405.971597	23.043732	382.927865
10.093361	402.475163	22.253049	380.222115
10.110733	399.002436	21.486763	377.515673
10.128106	395.553053	20.744226	374.808827
10.145478	392.126666	20.024803	372.101863
10.162850	388.722937	19.327872	369.395065
10.180223	385.341539	18.652823	366.688715
10.197595	381.982156	17.999063	363.983093
10.214967	378.644483	17.366007	361.278476
10.232340	375.328225	16.753086	358.575139
10.249712	372.033098	16.159742	355.873356
10.267085	368.758827	15.585430	353.173397
10.284457	365.505149	15.029618	350.475531
10.301829	362.271807	14.491784	347.780023
10.319202	359.058557	13.971419	345.087138
10.336574	355.865163	13.468027	342.397137
10.353947	352.691398	12.981121	339.710277
10.371319	349.537043	12.510226	337.026817
10.388691	346.401889	12.054880	334.347008
10.406064	343.285734	11.614631	331.671103
10.423436	340.188386	11.189037	328.999350
10.440809	337.109660	10.777666	326.331994
10.458181	334.049379	10.380100	323.669279
10.475553	331.007373	9.995928	321.011445
10.492926	327.983480	9.624750	318.358730
10.510298	324.977545	9.266177	315.711369
10.527671	321.989421	8.919827	313.069593
10.545043	319.018965	8.585332	310.433633
10.562415	316.066044	8.262329	307.803715
10.579788	313.130530	7.950468	305.180062
10.597160	310.212300	7.649404	302.562895
10.614533	307.311238	7.358806	299.952433
10.631905	304.427236	7.078346	297.348889
10.649277	301.560187	6.807710	294.752477
10.666650	298.709993	6.546589	292.163404
10.684022	295.876560	6.294683	289.581878
10.701394	293.059800	6.051700	287.008100
10.718767	290.259629	5.817357	284.442272
10.736139	287.475967	5.591377	281.884590
10.753512	284.708740	5.373492	279.335248
10.770884	281.957878	5.163441	276.794437
10.788256	279.223315	4.960970	274.262345
10.805629	276.504988	4.765832	271.739156
10.823001	273.802841	4.577788	269.225053
10.840374	271.116818	4.396604	266.720214
10.857746	268.446868	4.222054	264.224814
10.875118	265.792944	4.053918	261.739025
10.892491	263.155001	3.891983	259.263018
10.909863	260.532999	3.736042	256.796957
10.927236	257.926899	3.585892	254.341007
10.944608	255.336665	3.441339	251.895326
10.961980	252.762265	3.302194	249.460072
