# Z_nm	Fit_totale_conteggi	Gauss1_conteggi	Gauss2_conteggi
4.037092	1613.633080	1413.951902	199.681178
4.051110	1630.027118	1428.326357	201.700761
4.065128	1646.450066	1442.716585	203.733481
4.079145	1662.899457	1457.120131	205.779326
4.093163	1679.372792	1471.534513	207.838279
4.107181	1695.867544	1485.957220	209.910324
4.121198	1712.381157	1500.385714	211.995443
4.135216	1728.911047	1514.817432	214.093616
4.149234	1745.454604	1529.249785	216.204820
4.163251	1762.009190	1543.680158	218.329032
4.177269	1778.572141	1558.105913	220.466228
4.191287	1795.140768	1572.524387	222.616381
4.205304	1811.712360	1586.932897	224.779463
4.219322	1828.284178	1601.328735	226.955444
4.233340	1844.853464	1615.709172	229.144292
4.247357	1861.417436	1630.071462	231.345974
4.261375	1877.973290	1644.412834	233.560455
4.275393	1894.518203	1658.730504	235.787699
4.289411	1911.049331	1673.021665	238.027667
4.303428	1927.563814	1687.283495	240.280318
4.317446	1944.058770	1701.513158	242.545612
4.331464	1960.531303	1715.707799	244.823504
4.345481	1976.978499	1729.864550	247.113949
4.359499	1993.397430	1743.980530	249.416900
4.373517	2009.785153	1758.052846	251.732308
4.387534	2026.138713	1772.078591	254.060121
4.401552	2042.455139	1786.054851	256.400288
4.415570	2058.731452	1799.978698	258.752754
4.429587	2074.964662	1813.847199	261.117463
4.443605	2091.151768	1827.657412	263.494356
4.457623	2107.289761	1841.406387	265.883374
4.471640	2123.375626	1855.091170	268.284455
4.485658	2139.406339	1868.708803	270.697536
4.499676	2155.378872	1882.256322	273.122550
4.513693	2171.290194	1895.730763	275.559431
4.527711	2187.137268	1909.129158	278.008109
4.541729	2202.917055	1922.448541	280.468514
4.555746	2218.626516	1935.685945	282.940571
4.569764	2234.262613	1948.838406	285.424207
4.583782	2249.822305	1961.902961	287.919344
4.597799	2265.302556	1974.876652	290.425904
4.611817	2280.700333	1987.756528	292.943805
4.625835	2296.012606	2000.539640	295.472966
4.639853	2311.236351	2013.223049	298.013302
4.653870	2326.368551	2025.803825	300.564726
4.667888	2341.406195	2038.279044	303.127150
4.681906	2356.346281	2050.645797	305.700484
4.695923	2371.185818	2062.901183	308.284635
4.709941	2385.921825	2075.042316	310.879509
4.723959	2400.551333	2087.066322	313.485011
4.737976	2415.071386	2098.970345	316.101041
4.751994	2429.479043	2110.751543	318.727500
4.766012	2443.771376	2122.407091	321.364286
4.780029	2457.945477	2133.934183	324.011294
4.794047	2471.998454	2145.330034	326.668419
4.808065	2485.927432	2156.591878	329.335554
4.822082	2499.729558	2167.716971	332.012587
4.836100	2513.401999	2178.702592	334.699407
4.850118	2526.941945	2189.546044	337.395901
4.864135	2540.346608	2200.244656	340.101952
4.878153	2553.613224	2210.795781	342.817443
4.892171	2566.739056	2221.196801	345.542255
4.906188	2579.721391	2231.445127	348.276264
4.920206	2592.557546	2241.538197	351.019349
4.934224	2605.244865	2251.473481	353.771384
4.948242	2617.780721	2261.248481	356.532240
4.962259	2630.162519	2270.860731	359.301788
4.976277	2642.387696	2280.307798	362.079898
4.990295	2654.453720	2289.587284	364.866436
5.004312	2666.358093	2298.696828	367.661266
5.018330	2678.098354	2307.634103	370.464251
5.032348	2689.672074	2316.396822	373.275252
5.046365	2701.076865	2324.982736	376.094129
5.060383	2712.310372	2333.389635	378.920737
5.074401	2723.370282	2341.615349	381.754933
5.088418	2734.254321	2349.657751	384.596569
5.102436	2744.960254	2357.514757	387.445498
5.116454	2755.485890	2365.184323	390.301567
5.130471	2765.829076	2372.664451	393.164625
5.144489	2775.987707	2379.953189	396.034518
5.158507	2785.959719	2387.048631	398.911089
5.172524	2795.743094	2393.948914	401.794180
5.186542	2805.335859	2400.652227	404.683631
5.200560	2814.736087	2407.156806	407.579281
5.214577	2823.941900	2413.460934	410.480967
5.228595	2832.951467	2419.562946	413.388522
5.242613	2841.763006	2425.461227	416.301779
5.256631	2850.374783	2431.154213	419.220570
5.270648	2858.785117	2436.640393	422.144724
5.284666	2866.992375	2441.918307	425.074068
5.298684	2874.994978	2446.986550	428.008428
5.312701	2882.791397	2451.843769	430.947627
5.326719	2890.380157	2456.488667	433.891490
5.340737	2897.759837	2460.920002	436.839834
5.354754	2904.929068	2465.136588	439.792481
5.368772	2911.886537	2469.137292	442.749245
5.382790	2918.630986	2472.921042	445.709944
5.396807	2925.161212	2476.486821	448.674391
5.410825	2931.476068	2479.833670	451.642398
5.424843	2937.574462	2482.960688	454.613775
5.438860	2943.455363	2485.867032	457.588331
5.452878	2949.117792	2488.551918	460.565874
5.466896	2954.560831	2491.014622	463.546210
5.480913	2959.783620	2493.254478	466.529141
5.494931	2964.785355	2495.270882	469.514472
5.508949	2969.565292	2497.063288	472.502004
5.522966	2974.122746	2498.631211	475.491535
5.536984	2978.457091	2499.974228	478.482864
5.551002	2982.567760	2501.091973	481.475787
5.565020	2986.454245	2501.984145	484.470100
5.579037	2990.116098	2502.650501	487.465597
5.593055	2993.552931	2503.090862	490.462069
5.607073	2996.764416	2503.305108	493.459308
