   407.456909     (  -4.32101583     ,  0.351258337     )
   408.202240     (  -4.36630201     ,  0.354180306     )
   408.947571     (  -4.39975119     ,  0.352550536     )
   409.692902     (  -4.43320036     ,  0.350920796     )
   410.438232     (  -4.46561098     ,  0.351859570     )
   411.183563     (  -4.49798250     ,  0.352894783     )
   411.928925     (  -4.52441359     ,  0.355557531     )
   412.674255     (  -4.54961872     ,  0.358556002     )
   413.419586     (  -4.57391930     ,  0.358119369     )
   414.164917     (  -4.59782124     ,  0.356169641     )
   414.910248     (  -4.62844610     ,  0.355686426     )
   415.655579     (  -4.66436434     ,  0.356357962     )
   416.400909     (  -4.70145512     ,  0.355350316     )
   417.146271     (  -4.74013376     ,  0.352068812     )
   417.891602     (  -4.78041935     ,  0.351166874     )
   418.636932     (  -4.82463694     ,  0.356088400     )
   419.382263     (  -4.86753654     ,  0.360467851     )
   420.127594     (  -4.90327120     ,  0.361901015     )
   420.872925     (  -4.93888664     ,  0.363343924     )
   421.618256     (  -4.96884298     ,  0.365247756     )
   422.363617     (  -4.99879932     ,  0.367151588     )
   423.108948     (  -5.02406740     ,  0.364381105     )
   423.854279     (  -5.04873276     ,  0.361009389     )
   424.599609     (  -5.07537556     ,  0.362857461     )
   425.344940     (  -5.10267258     ,  0.366432309     )
   426.090271     (  -5.13539314     ,  0.366553307     )
   426.835632     (  -5.17148304     ,  0.364528924     )
   427.580963     (  -5.20841122     ,  0.364429682     )
   428.326294     (  -5.24623919     ,  0.366397083     )
   429.071625     (  -5.28650904     ,  0.367745638     )
   429.816956     (  -5.33135891     ,  0.367933482     )
   430.562286     (  -5.37520456     ,  0.369057566     )
   431.307617     (  -5.41534519     ,  0.373637408     )
   432.052979     (  -5.45457458     ,  0.378170967     )
   432.798309     (  -5.48313379     ,  0.382162720     )
   433.543640     (  -5.51169252     ,  0.386154473     )
   434.288971     (  -5.54115963     ,  0.382154226     )
   435.034302     (  -5.57068110     ,  0.377681196     )
   435.779633     (  -5.59987879     ,  0.377406120     )
   436.524963     (  -5.62900019     ,  0.378117412     )
   437.270325     (  -5.65879869     ,  0.378583252     )
   438.015656     (  -5.68892193     ,  0.378931016     )
   438.760986     (  -5.72380114     ,  0.380316496     )
   439.506317     (  -5.76271820     ,  0.382583112     )
   440.251648     (  -5.80227947     ,  0.384823173     )
   440.996979     (  -5.84278154     ,  0.387024492     )
   441.742340     (  -5.88346004     ,  0.388981193     )
